close,high,date,low,open,volume_from,volume_to,symbol,btc_price
3380.16,3425.47,2018-07-26,3269.66,3374.74,110340.09,372967158.61,DASH,113999.96
3380.95,3525.25,2018-07-27,3358.4,3380.16,105378.16,356278290.05,DASH,112994.95
3299.44,3378.24,2018-07-28,3280.3,3382.08,110108.13,363295168.45,DASH,112993.79
3282.74,3323.24,2018-07-29,3264.74,3299.44,109080.83,358084003.87,DASH,112994.44
3204.18,3292.23,2018-07-30,3199.73,3278.24,114215.25,365966219.75,DASH,112755.71
3009.9,3084.69,2018-07-31,2955.41,3204.18,147804.38,444876403.36,DASH,111503.88
3014.94,3091.31,2018-08-01,2940.67,3009.9,127748.9,385155268.57,DASH,106889.78
2944.72,3037.27,2018-08-02,2881.62,3015.99,135134.79,397934118.81,DASH,106765.73
2952.21,2987.51,2018-08-03,2865.02,2944.72,120155.16,354723264.9,DASH,105168.61
2876.06,2893.96,2018-08-04,2801.47,2953.25,107698.3,309746772.7,DASH,104996.88
2917.11,2948.85,2018-08-05,2852.63,2876.06,112391.62,327858718.62,DASH,100602.86
2791.91,2889.68,2018-08-06,2783.2,2917.11,127430.91,355775631.94,DASH,100466.51
2625.45,2750.88,2018-08-07,2578.3,2791.91,159933.9,419898457.75,DASH,99099.78
2453.75,2613.07,2018-08-08,2353.18,2623.57,173231.83,425067602.86,DASH,94305
2645.82,2781.02,2018-08-09,2572.59,2453.75,149252,394893926.64,DASH,94878
2501.4,2676.87,2018-08-10,2499.57,2646.76,143262.46,358356717.44,DASH,94450
2450.88,2545.46,2018-08-11,2443.46,2503.23,132467.02,324660769.98,DASH,94449.73
2483.42,2498.33,2018-08-12,2421.01,2450.88,154898.79,384678753.06,DASH,94448.55
2158.29,2520.03,2018-08-13,2151.74,2483.42,179389.15,387173808.55,DASH,98900.63
2056.17,2194.17,2018-08-14,2021.21,2158.29,180741.08,371634386.46,DASH,93473.75
2310.12,2327.1,2018-08-15,1852.81,2057.09,199212.25,460204202.97,DASH,98599.67
2250.96,2323.33,2018-08-16,2226.52,2309.26,148277.15,333765933.56,DASH,95999.89
2475.34,2481.18,2018-08-17,2328.47,2250.94,154491.77,382419657.95,DASH,97996.79
2288.64,2474.88,2018-08-18,2217.6,2475.34,160537.44,367412406.68,DASH,97505.86
2307.78,2428.83,2018-08-19,2270.01,2288.64,151161.08,348846517.2,DASH,97249.37
2130.83,2287.2,2018-08-20,2122.35,2308.75,154321.83,328833585.02,DASH,96984.39
2090.5,2186.95,2018-08-21,2057.07,2129.88,172103.44,359782241.32,DASH,95699.82
2034.48,2111.71,2018-08-22,2022.23,2090.5,382758.9,778715326.87,DASH,97999.91
2059.22,2101.28,2018-08-23,2020.02,2034.48,254365.43,523794380.76,DASH,95704.21
2110.86,2145.96,2018-08-24,2062.11,2060.17,412886.7,871546019.56,DASH,97499.22
2107.89,2138.27,2018-08-25,2078.49,2110.86,384602.46,810699679.41,DASH,97998.31
2054.88,2093.76,2018-08-26,2039.33,2109.85,351051.35,721368398.09,DASH,97995.86
2610.53,2697.49,2018-08-27,2057.55,2054.88,516837.99,1349221078.03,DASH,97699.65
2782.46,2875.82,2018-08-28,2529.79,2610.53,381597.24,1061779056.41,DASH,101499.76
2720.29,2894.01,2018-08-29,2698.83,2786.52,268423.34,730189327.57,DASH,103856.87
2679.8,2722.5,2018-08-30,2599.49,2719.27,437234.82,1171701870.64,DASH,103000.75
2862.4,2872.74,2018-08-31,2720.73,2680.82,428994.67,1227954343.41,DASH,103999.9
3289.49,3356.71,2018-09-01,2953.39,2863.44,299677.91,985787488.17,DASH,106699.66
3156.12,3359.39,2018-09-02,3085.84,3289.47,221440.94,698894179.55,DASH,108500.76
3276.27,3350.73,2018-09-03,3102.16,3156.12,194656.18,637746202.85,DASH,109883.61
3314.89,3394.61,2018-09-04,3266.6,3276.27,203651.67,675082884.37,DASH,113999.95
2789.92,3254.37,2018-09-05,2754.28,3314.89,282367.51,787782763.5,DASH,114994.82
2891.44,2893.51,2018-09-06,2628.77,2789.92,250073.56,723072694.33,DASH,108011.85
2971.42,3061.22,2018-09-07,2754.07,2891.44,267957.89,796215433.5,DASH,104845.45
2975.33,3112.59,2018-09-08,2874.6,2971.42,386406.88,1149687982.27,DASH,102448.67
3108.52,3123.61,2018-09-09,2877.15,2975.33,304832.26,947577176.86,DASH,102400.62
3192.34,3273.17,2018-09-10,3082.57,3108.52,252449.7,805905275.3,DASH,102031.41
2935.08,3200.21,2018-09-11,2848.35,3189.35,270169.69,792969653.73,DASH,101281.46
2875.48,2935.5,2018-09-12,2694.41,2937.05,343756.57,988465141.9,DASH,98559.86
2945.28,3084.59,2018-09-13,2824.89,2875.48,231421.61,681601439.5,DASH,99999.93
2939.64,3034.63,2018-09-14,2882.65,2945.28,286598.39,842496091.18,DASH,100998.75
2948.74,2996.95,2018-09-15,2887.47,2942.64,232877.38,686694845.5,DASH,100882.28
2950.73,2966.68,2018-09-16,2853.04,2951.75,329602.33,972567483.2,DASH,100498.3
2829.18,2959.53,2018-09-17,2770.28,2957,195150.5,552115891.59,DASH,100009.89
2932.56,2941.36,2018-09-18,2775.18,2829.18,286986.95,841606450.09,DASH,98649.91
2927.12,3024.82,2018-09-19,2881.2,2932.56,235605.97,689646946.91,DASH,98371.81
3005.54,3016.27,2018-09-20,2853.36,2927.12,336098.74,1010158207.02,DASH,97999.92
3121.21,3201.89,2018-09-21,3041.54,3005.54,299059.37,933427096.24,DASH,101088.82
3077.35,3181.27,2018-09-22,3026.9,3121.21,217485.15,669277926.35,DASH,101000.85
3082.43,3159.03,2018-09-23,3048.16,3077.35,296169.78,912922614.97,DASH,101790.89
2964.25,3023.36,2018-09-24,2872.63,3082.43,319498.2,947072539.35,DASH,100799.81
2863.21,2919.46,2018-09-25,2730.33,2964.25,276644.13,792090239.46,DASH,98512.72
2757.73,2865.41,2018-09-26,2739.3,2864.18,325595.11,897903402.7,DASH,98399.89
2885.32,2911.05,2018-09-27,2803.2,2756.76,339763.75,980327143.15,DASH,98949.97
2777.94,2874.38,2018-09-28,2764.16,2885.32,371091.42,1030869699.27,DASH,99997.96
2807.5,2850.75,2018-09-29,2759.33,2776.95,323732.36,908878600.7,DASH,98447.84
2779.05,2820.3,2018-09-30,2770.21,2807.53,377716.47,1049692955.95,DASH,98999.71
2774.9,2783.68,2018-10-01,2744.68,2779.05,300906.21,834984642.13,DASH,98610.89
2724.67,2797.2,2018-10-02,2702.13,2774.9,278411.94,758580660.56,DASH,98681.96
2676.78,2726.66,2018-10-03,2659.18,2727.61,349511.89,935566436.91,DASH,98020.93
2725.19,2743.04,2018-10-04,2704.37,2676.78,440280.53,1199848097.55,DASH,99887.94
2761.48,2782.52,2018-10-05,2735.43,2725.16,283217.45,782099323.83,DASH,100199.93
2764.49,2872.09,2018-10-06,2755.44,2761.48,336122.18,929206405.39,DASH,100898.68
2743.34,2775.38,2018-10-07,2712.3,2764.49,233128.44,639550574.59,DASH,100563.68
2794.27,2811.55,2018-10-08,2755.65,2743.34,288048.68,804885785.06,DASH,101899.96
2740.61,2770.76,2018-10-09,2729.55,2794.27,250732.2,687159174.64,DASH,101999.91
2702.05,2727.92,2018-10-10,2686.12,2740.61,312005.37,843054110.01,DASH,100499.96
2377.03,2577.48,2018-10-11,2377.03,2701.05,259534.17,616920508.12,DASH,99522.9
2406.56,2469.48,2018-10-12,2332.19,2377.03,339297.26,816539214.03,DASH,95999.95
2455.89,2457.8,2018-10-13,2399.66,2406.56,213640.49,524677542.99,DASH,95750.92
2404.77,2482.28,2018-10-14,2397.11,2455.89,209232.98,503157193.31,DASH,95998.25
2413.75,2438.88,2018-10-15,2241.68,2399.98,282758.46,682508232.83,DASH,100494.95
2379.08,2404.01,2018-10-16,2362.78,2412.88,201278.71,478858153.39,DASH,97716.92
2341.21,2489.81,2018-10-17,2325.87,2377.16,201666.15,472142807.04,DASH,97199.84
2286.52,2355.72,2018-10-18,2278.83,2340.25,199836.73,456930679.88,DASH,97450.76
2285.76,2304.03,2018-10-19,2273.25,2286.52,211665.32,483816121.84,DASH,96706.81
2299.24,2330.99,2018-10-20,2280,2285.76,219312.02,504250968.86,DASH,96202.92
2291.91,2322.73,2018-10-21,2287.1,2297.32,196350.42,450017491.1,DASH,96899.38
2247.95,2284.33,2018-10-22,2245.08,2290.95,204471.56,459641843.3,DASH,96299.88
